uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 21:00:00,59,59,21,5.2,,1.6,0.1,29.7,8.6,2.5,1002.7,2025-08-25T15:30:24Z,2025-08-26 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 21:00:00,21,21,19,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T15:30:25Z,2025-08-26 04:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T15:30:26Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T15:30:26Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 21:00:00,38,38,19,4.4,1.2,0.6,0.1,30.0,8.7,2.0,1004.4,2025-08-25T16:35:43Z,2025-08-26 04:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 21:00:00,59,59,21,5.2,,1.6,0.1,29.7,8.6,2.5,1002.7,2025-08-25T16:35:43Z,2025-08-26 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 21:00:00,21,21,19,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T16:35:44Z,2025-08-26 04:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T16:35:45Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T16:35:45Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 21:00:00,38,38,19,4.4,1.2,0.6,0.1,30.0,8.7,2.0,1004.4,2025-08-25T17:25:06Z,2025-08-26 04:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 21:00:00,59,59,21,5.2,,1.6,0.1,29.7,8.6,2.5,1002.7,2025-08-25T17:25:07Z,2025-08-26 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 21:00:00,21,21,19,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T17:25:08Z,2025-08-26 04:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T17:25:09Z,2025-08-26 03:00:00+07:00
